Date,Close
5/28/2014,59.71
5/29/2014,59.94
5/30/2014,59.86
6/2/2014,59.78
6/3/2014,59.72
6/4/2014,59.38
6/5/2014,60.44
6/6/2014,61.17
6/9/2014,60.91
6/10/2014,61.73
6/11/2014,61.91
6/12/2014,61.82
6/13/2014,62.01
6/16/2014,62.46
6/17/2014,62.24
6/18/2014,63.53
6/19/2014,63.69
6/20/2014,63.92
6/23/2014,63.81
6/24/2014,62.96
6/25/2014,63.5
6/26/2014,63.73
6/27/2014,63.8
6/30/2014,63.79
7/1/2014,63.53
7/2/2014,64.13
7/3/2014,64.38
7/7/2014,64.11
7/8/2014,63.39
7/9/2014,64
7/10/2014,63.46
7/11/2014,63.44
7/14/2014,63.74
7/15/2014,64.31
7/16/2014,65.2
7/17/2014,64.15
7/18/2014,64.87
7/21/2014,65.48
7/22/2014,65.96
7/23/2014,66.11
7/24/2014,66.52
7/25/2014,66.21
7/28/2014,65.61
7/29/2014,64.41
7/30/2014,68.53
7/31/2014,67.46
8/1/2014,67.7
8/4/2014,68.46
8/5/2014,67.32
8/6/2014,66.22
8/7/2014,66.67
8/8/2014,67.39
8/11/2014,67.51
8/12/2014,67.71
8/13/2014,67.5
8/14/2014,67.22
8/15/2014,67.17
8/18/2014,68.15
8/19/2014,68.63
8/20/2014,68.66
8/21/2014,68.62
8/22/2014,68.45
8/25/2014,68.56
8/26/2014,68.45
8/27/2014,68.22
8/28/2014,68.06
8/29/2014,68.26
9/2/2014,68.37
9/3/2014,66.9
9/4/2014,67.33
9/5/2014,67.76
9/8/2014,67.51
9/9/2014,66.91
9/10/2014,66.73
9/11/2014,66.99
9/12/2014,67.17
9/15/2014,67.05
9/16/2014,67.2
9/17/2014,68.08
9/18/2014,68.23
9/19/2014,67.82
9/22/2014,66.74
9/23/2014,66.44
9/24/2014,66.69
9/25/2014,65.56
9/26/2014,66.35
9/29/2014,66.45
9/30/2014,66.32
10/1/2014,65.19
10/2/2014,66.1
10/3/2014,67.24
10/6/2014,66.73
10/7/2014,65.43
10/8/2014,66.28
10/9/2014,65.2
10/10/2014,64.62
10/13/2014,63.45
10/14/2014,65.58
10/15/2014,67.1
10/16/2014,66.86
10/17/2014,67.98
10/20/2014,68.99
10/21/2014,69.93
10/22/2014,69.53
10/23/2014,70.61
10/24/2014,71.15
10/27/2014,71.7
10/28/2014,72.34
10/29/2014,72.1
10/30/2014,69.22
10/31/2014,69.21
11/3/2014,68.69
11/4/2014,70.12
11/5/2014,71.45
11/6/2014,71.6
11/7/2014,71.46
11/10/2014,72.17
11/11/2014,71.75
11/12/2014,72.86
11/13/2014,73.11
11/14/2014,73.07
11/17/2014,72.52
11/18/2014,72.54
11/19/2014,71.48
11/20/2014,72.29
11/21/2014,72.82
11/24/2014,72.62
11/25/2014,73.04
11/26/2014,73.4
11/28/2014,73.74
12/1/2014,72.51
12/2/2014,73.61
12/3/2014,74.57
12/4/2014,74.45
12/5/2014,74.63
12/8/2014,74.07
12/9/2014,73.25
12/10/2014,71.81
12/11/2014,72.48
12/12/2014,72.29
12/15/2014,72.18
12/16/2014,71.92
12/17/2014,71.88
12/18/2014,74.07
